Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
06/01/2020;0300 UTC;,2
06/01/2020;0400 UTC;,2
06/01/2020;0500 UTC;,2
06/01/2020;0600 UTC;0
06/01/2020;0700 UTC;,7
06/01/2020;0800 UTC;,3
06/01/2020;0900 UTC;0
06/01/2020;1000 UTC;,1
06/01/2020;1100 UTC;,6
06/01/2020;1200 UTC;,5
06/01/2020;1300 UTC;1,2
06/01/2020;1400 UTC;2,5
06/01/2020;1500 UTC;1,8
06/01/2020;1600 UTC;,7
06/01/2020;1700 UTC;1,3
06/01/2020;1800 UTC;,9
06/01/2020;1900 UTC;,3
06/01/2020;2000 UTC;,6
06/01/2020;2100 UTC;0
06/01/2020;2200 UTC;,7
06/01/2020;2300 UTC;,4
07/01/2020;0000 UTC;,3
07/01/2020;0100 UTC;0
07/01/2020;0200 UTC;1,8
07/01/2020;0300 UTC;,8
07/01/2020;0400 UTC;1
07/01/2020;0500 UTC;2,9
07/01/2020;0600 UTC;1,6
07/01/2020;0700 UTC;1,2
07/01/2020;0800 UTC;,8
07/01/2020;0900 UTC;,9
07/01/2020;1000 UTC;,4
07/01/2020;1100 UTC;1,5
07/01/2020;1200 UTC;1,2
07/01/2020;1300 UTC;,6
07/01/2020;1400 UTC;1,9
07/01/2020;1500 UTC;2,4
07/01/2020;1600 UTC;2,1
07/01/2020;1700 UTC;1,9
07/01/2020;1800 UTC;2,8
07/01/2020;1900 UTC;1,4
07/01/2020;2000 UTC;1,5
07/01/2020;2100 UTC;1,2
07/01/2020;2200 UTC;,5
07/01/2020;2300 UTC;,1
08/01/2020;0000 UTC;,1
08/01/2020;0100 UTC;,6
08/01/2020;0200 UTC;,5
08/01/2020;0300 UTC;,5
08/01/2020;0400 UTC;0
08/01/2020;0500 UTC;0
08/01/2020;0600 UTC;,8
08/01/2020;0700 UTC;0
08/01/2020;0800 UTC;,8
08/01/2020;0900 UTC;,4
08/01/2020;1000 UTC;,2
08/01/2020;1100 UTC;1
08/01/2020;1200 UTC;1
08/01/2020;1300 UTC;,2
08/01/2020;1400 UTC;1,3
08/01/2020;1500 UTC;2,5
08/01/2020;1600 UTC;1,6
08/01/2020;1700 UTC;1,6
08/01/2020;1800 UTC;,1
08/01/2020;1900 UTC;1,4
08/01/2020;2000 UTC;,2
08/01/2020;2100 UTC;,2
08/01/2020;2200 UTC;,1
08/01/2020;2300 UTC;,7
09/01/2020;0000 UTC;,2
09/01/2020;0100 UTC;,4
09/01/2020;0200 UTC;,2
09/01/2020;0300 UTC;1,5
09/01/2020;0400 UTC;,4
09/01/2020;0500 UTC;,9
09/01/2020;0600 UTC;,6
09/01/2020;0700 UTC;1,2
09/01/2020;0800 UTC;,2
09/01/2020;0900 UTC;,5
09/01/2020;1000 UTC;,6
09/01/2020;1100 UTC;1
09/01/2020;1200 UTC;,5
09/01/2020;1300 UTC;2,6
09/01/2020;1400 UTC;,8
09/01/2020;1500 UTC;1,5
09/01/2020;1600 UTC;1,9
