,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-01-14 10:00:00,7.432234649244933,6.567839573170304,7.280482816174306,6.935745,6.936281566206603,9.27381571124739,7.677285027518832,7.3658147,5.544474248472838,5.947
2019-01-14 11:00:00,5.129245303902022,6.598942820999287,4.952223930850679,4.710967,4.913697742256514,5.322840192928194,5.58424891043451,6.08673,2.668334506782881,3.453
2019-01-14 12:00:00,5.659751231512935,7.010878328079481,6.089418835081054,5.788148,5.935297543845088,6.486494540937564,5.464876306291911,6.5082345,4.29419975980273,5.9
2019-01-14 13:00:00,6.020499511576337,5.839181951091903,6.059120040823116,5.481712,5.9437165697581,5.345892242081525,6.825305005335297,4.8887386,5.839546724177045,10.53
2019-01-14 14:00:00,7.177071076908017,6.438144390728673,7.231766751534721,6.371942,6.603765470065976,7.2786376225056415,6.285257905568173,6.799398,8.105233174838926,4.893
2019-01-14 15:00:00,5.729425437771487,6.62598754218402,5.703968294012371,4.501215,5.297911651455569,5.175136410416169,5.174757761144328,5.330879,3.98769617828052,5.011
2019-01-14 16:00:00,5.24501066841561,6.7065832629321145,5.787500746177009,5.9106455,6.238871866840903,6.472348250421105,5.777405100535287,7.0022182,5.99633484520394,7.18
2019-01-14 17:00:00,6.532255455194107,5.609423564907017,6.366358346808884,5.3696012,6.232337757287613,5.367959170726223,5.926982587181184,4.2759495,5.9091101133209385,13.16
2019-01-14 18:00:00,9.332237641821889,7.835012984082724,9.50573295520719,7.453693,8.71737972975829,9.075937641594418,8.915965867179281,7.2945857,9.886135976325063,7.26
2019-01-14 19:00:00,6.700902931252286,6.47086250296597,6.707471110306181,5.207675,6.671674720803067,5.7932319962815395,6.734965323970153,6.9873505,4.957958571472928,5.398
2019-01-14 20:00:00,5.170239846819343,6.755955407903717,7.958263806505928,6.8706355,6.863726060503425,7.018561520924457,7.1086195265175505,7.256869,6.285104673021736,6.055
2019-01-14 21:00:00,5.282675752699629,6.153563352041308,6.23223329073532,5.859599,5.056201467573897,5.789661220081042,5.407024268637125,4.029729,5.827254781782881,6.911
2019-01-14 22:00:00,7.618114331616841,8.301731825464017,7.76000981573206,7.079655,6.977853873624287,7.263664424840187,6.826602035350541,6.4078712,8.917049744977437,6.52
2019-01-14 23:00:00,7.114113669660527,5.862483487293404,7.17924095449247,5.529251,7.085718970563847,6.361977874586715,7.016772056756677,3.2920105,5.356630664136845,6.112
2019-01-15 00:00:00,4.393495743294048,5.870660878926863,5.786180393429275,5.160205,5.5906946110919,5.819520348396117,4.372186440320707,4.6817827,5.368560020942974,5.735
2019-01-15 01:00:00,5.664174143492422,5.972712145958164,5.083157225550708,5.362505,4.990231339155875,5.456921412456062,4.872606294836835,3.587226,4.702492300688467,5.978
2019-01-15 02:00:00,7.302956684423302,6.114635985897194,7.065136614423322,6.116299,6.589994772268151,6.010687655858257,6.439104523982664,5.6560683,6.212612732244347,5.583
2019-01-15 03:00:00,5.885753177088767,5.5127625148437005,5.972799526091323,5.058001,5.945449374598533,5.71119639465806,6.146190790119947,3.3165548,4.527978442591697,5.811
2019-01-15 04:00:00,5.426791784603989,5.651949785705133,7.057901010940918,5.1979103,6.039632437069809,5.411390243625666,6.2752759874782615,3.6164439,6.356970903714096,5.602
2019-01-15 05:00:00,5.69654286859352,5.64891862223978,5.317081007918041,5.2660694,4.936369070986098,5.370554441867721,5.222747410500666,3.7929873,4.902595887163466,5.663
2019-01-15 06:00:00,6.092467738665243,5.655367620386627,6.0148194213658694,6.2628403,5.420257045305868,6.243664825849272,5.513348577227703,6.926266,4.661092235125204,6.499
2019-01-15 07:00:00,5.949388495878324,5.875401669097679,5.838245741893241,5.547487,5.917358151868925,6.62253799778687,6.738847328768728,4.3141894,4.532103530363187,5.86
2019-01-15 08:00:00,5.832808915002981,5.59375995772075,5.8261873243585685,5.072886,5.70643729291741,5.441156453564753,5.956678210426238,3.4289997,3.8416795166570337,6.078
2019-01-15 09:00:00,6.828393456862117,5.997767179651824,6.571021470337557,5.46324,6.305329558775569,5.816278830966633,6.643841113813632,3.979381,4.801760671064998,5.945
2019-01-15 10:00:00,5.277494183200186,5.783886690638491,5.11485709675406,5.3680015,4.904859533923452,5.479405324794019,5.641216482247105,3.8245955,3.1525926500733545,4.887
2019-01-15 11:00:00,4.519958618188127,5.750264670989585,4.586978624049296,5.144372,4.358299854302629,5.351052330129179,4.7781050196617825,3.259329,2.240435960793718,6.644
2019-01-15 12:00:00,7.205654388980906,6.032672361319344,6.938067602891952,5.615961,6.835458046512644,5.913081966656472,7.612897430710423,4.3705187,5.225879437046092,5.449
2019-01-15 13:00:00,6.397598000986238,5.262207823388055,6.33121438797296,4.8284187,5.863465758783479,5.0671975791508554,6.587582245910667,3.243194,4.691888782007356,5.161
2019-01-15 14:00:00,4.986994834645006,5.912076118026814,5.049687305333558,5.2869406,4.913672538502428,5.581404147329173,5.187932332451686,3.8136673,2.59225282262108,4.939
2019-01-15 15:00:00,5.078006574748709,5.431062203870293,4.694370766291952,4.842003,4.809511968730643,5.02472251698719,5.495458846451219,4.0269933,3.673213789104178,7.79
2019-01-15 16:00:00,6.863292165286938,6.108621223415698,6.649277008920848,5.7790747,6.170195289142529,6.202099137761525,6.355141440086028,4.6528354,6.287536807544629,6.978
2019-01-15 17:00:00,6.992395404671896,5.154897237285269,6.7752076533084225,5.097674,6.604443792199362,5.530458275962246,7.000361066598002,4.1759644,6.004095796441305,6.455
