;AR;AR+ELM
0;0.833697711;1.340056535
1;0.833697711;1.27295158
2;0.833697711;1.299599093
3;0.833697711;1.433570753
4;0.833697711;1.331073816
5;0.833697711;1.36890625
6;0.833697711;1.501959111
7;0.833697711;1.480192702
8;0.833697711;1.372405791
9;0.833697711;1.406794909
10;0.833697711;1.49295846
11;0.833697711;1.477092488
12;0.833697711;1.432884129
13;0.833697711;1.425045639
14;0.833697711;1.379655889
15;0.833697711;1.410277784
16;0.833697711;1.47936648
17;0.833697711;1.379985919
18;0.833697711;1.518837427
19;0.833697711;1.327061787
20;0.833697711;1.37621794
21;0.833697711;1.378493776
22;0.833697711;1.360478188
23;0.833697711;1.475796485
24;0.833697711;1.497743575
25;0.833697711;1.421687718
26;0.833697711;1.325987665
27;0.833697711;1.439863327
28;0.833697711;1.477858844
29;0.833697711;1.453540382
