;ARMA;ELM;ARMA+ELM;MLP;ARMA+MLP;ACTUAL
08/02/2019 23:00;5.71214642;5.854511505;5.692606553;6.4076457;6.489986081;5.49
09/02/2019 00:00;7.056506761;5.178339251;4.779364293;6.0627003;6.125871308;4.756
09/02/2019 01:00;5.248327239;5.464344568;5.101485458;6.0050006;5.389316543;5.032
09/02/2019 02:00;3.941950913;5.520796772;5.151970592;6.023224;5.780009385;5.071
09/02/2019 03:00;5.788000895;4.716525377;4.292420773;6.0516353;5.227455928;4.059
09/02/2019 04:00;5.5999863;4.448506911;3.868844459;5.1923366;5.099490389;3.757
09/02/2019 05:00;5.389056851;4.499292197;4.102071246;5.6366434;4.560592343;4.062
09/02/2019 06:00;4.321758546;5.473247557;5.171897984;5.876909;5.644964494;5.029
09/02/2019 07:00;4.6208086;5.288375345;5.072422437;6.375605;5.805449485;4.938
09/02/2019 08:00;6.261196801;5.496579132;5.385505531;6.577138;6.639471718;5.165
09/02/2019 09:00;6.536768741;4.595796348;4.256517538;6.029192;5.46529848;4.163
09/02/2019 10:00;4.350799947;6.166858347;5.756112742;7.1896834;5.906525045;5.792
09/02/2019 11:00;4.980516567;5.977596594;5.770400153;6.5710945;6.597404613;5.53
09/02/2019 12:00;5.784859108;4.777934458;4.415659387;6.2982454;5.885670113;4.371
09/02/2019 13:00;5.881894554;5.401803463;5.029520415;6.7839627;6.326295341;4.983
09/02/2019 14:00;5.679226015;6.968169654;6.932927498;8.208506;7.377096269;6.899
09/02/2019 15:00;4.844186276;6.252594603;6.059054705;6.9207845;6.564511746;6.012
09/02/2019 16:00;5.500278141;6.88481016;6.872819198;7.5368524;7.669303562;6.695
09/02/2019 17:00;7.390889377;6.586650133;6.174512644;7.1955166;7.857430667;6.169
09/02/2019 18:00;6.356912637;7.572210498;7.419815882;8.395484;7.839313531;7.37
09/02/2019 19:00;5.87626157;5.266991093;4.746548452;5.999462;5.638672688;4.84
09/02/2019 20:00;4.852667792;6.323833049;6.189679132;6.8951826;6.906821235;6.001
09/02/2019 21:00;6.491674642;5.181051742;4.651219637;6.232265;6.099807958;4.683
09/02/2019 22:00;6.282597882;6.2907679;6.131974282;7.1124663;6.708253247;5.916
09/02/2019 23:00;5.517357822;5.181821613;4.760051753;5.91188;5.325835223;4.771
10/02/2019 00:00;4.32114261;5.485698379;5.242880255;5.824682;5.526438172;5.099
10/02/2019 01:00;5.576011484;4.959261899;4.706690826;5.5621953;5.862504786;4.519
10/02/2019 02:00;6.180114432;5.283527455;4.850390683;6.241811;5.65994422;4.722
10/02/2019 03:00;5.356607674;5.070224868;4.673472935;5.560457;5.552677391;4.595
10/02/2019 04:00;4.714407511;7.547590012;7.381588306;8.160823;7.359541483;7.3
10/02/2019 05:00;5.767116177;5.090284411;4.688944598;6.008803;5.844348538;4.55
10/02/2019 06:00;6.087367332;5.412797693;5.060447475;6.6678147;6.07598046;4.924
10/02/2019 07:00;6.249440745;7.629853737;7.492737215;8.135991;8.160525873;7.51
10/02/2019 08:00;5.830674279;5.070017811;4.74559776;6.2158933;5.552064049;4.681
10/02/2019 09:00;4.496202106;8.31308594;8.408980923;9.062861;8.564946765;8.24
10/02/2019 10:00;7.442226874;6.959988473;6.7682842;7.810752;8.143732535;6.724
10/02/2019 11:00;6.675188706;4.796842882;4.614929757;6.1887565;5.797930405;4.475
10/02/2019 12:00;5.39106877;5.506035832;4.832305791;6.376776;5.288443877;4.949
10/02/2019 13:00;4.441439397;2.947643375;2.378666129;3.7935205;3.671128042;2.301
10/02/2019 14:00;3.999012302;5.686137399;5.344168922;6.580081;6.202631306;5.207
10/02/2019 15:00;6.69062568;8.170903842;8.272280055;8.853649;8.57976867;8.14
10/02/2019 16:00;6.746775364;8.586046559;8.599451562;8.699746;9.346747135;8.51
10/02/2019 17:00;6.706978166;7.991903474;7.961449327;8.589506;7.596468293;7.94
10/02/2019 18:00;6.155724191;14.50088956;15.22411028;12.741527;14.68280282;14.91
10/02/2019 19:00;10.54715667;17.87182286;18.6304751;16.862726;18.55646262;18.42
10/02/2019 20:00;12.40872217;7.024498641;6.825884888;7.7384067;8.463749182;6.76
10/02/2019 21:00;6.073093432;5.339447388;4.924250755;6.456473;6.58833887;5.107
