;AR;AR+ELM
0;0.504559596;2.075354259
1;0.504559596;2.007179145
2;0.504559596;2.160186229
3;0.504559596;1.924987392
4;0.504559596;1.953380377
5;0.504559596;2.095467175
6;0.504559596;2.159029677
7;0.504559596;1.65772314
8;0.504559596;1.748272146
9;0.504559596;2.095182663
10;0.504559596;1.945935038
11;0.504559596;2.18413517
12;0.504559596;1.981570376
13;0.504559596;2.015714541
14;0.504559596;2.328533845
15;0.504559596;1.704661207
16;0.504559596;2.187894528
17;0.504559596;2.107962065
18;0.504559596;2.38344579
19;0.504559596;2.160677863
20;0.504559596;2.191223563
21;0.504559596;2.52486207
22;0.504559596;2.567201393
23;0.504559596;1.976177368
24;0.504559596;1.260914232
25;0.504559596;1.84249656
26;0.504559596;2.166334842
27;0.504559596;2.048255295
28;0.504559596;2.215058133
29;0.504559596;2.287215213
