,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ACTUAL
2019-02-14 05:00:00,2.3629679494816567,2.1560898248756555,2.4894786255908765,2.264254,2.2867154890019203,3.201
2019-02-14 06:00:00,2.726202941145068,2.794407650672267,2.8836986936302194,2.7522938,2.85727403184331,2.976
2019-02-14 07:00:00,2.7660649955332715,2.7790648292404434,2.7661670219270875,2.7378309,2.6293252646983105,3.094
2019-02-14 08:00:00,2.705622747184331,2.782386813707886,2.7543658296367632,2.7763379,2.582052781821782,4.027
2019-02-14 09:00:00,3.5125453078074407,3.35896352438397,3.936059056349506,3.2404287,3.751486500434394,1.093
2019-02-14 10:00:00,2.293876729836581,2.656203970775799,2.9835584932339674,2.592639,2.8779655321742275,2.215
2019-02-14 11:00:00,2.554900822439304,3.0276181638960447,3.2676660434047164,3.0219462,3.203122315206638,1.361
2019-02-14 12:00:00,2.1338371348362015,2.869601480931094,2.921893371413022,2.4767256,2.502187640665059,2.078
2019-02-14 13:00:00,2.181538788215821,2.866876644809017,2.7305485232329247,2.8278852,2.4441539920732427,2.692
2019-02-14 14:00:00,2.6225308029014163,3.459792037783564,3.239594176839176,3.3936331,3.1058634368735842,3.809
2019-02-14 15:00:00,3.039903650544534,3.7195424348084853,3.5103106741528767,3.6627002,3.414495001099954,1.348
2019-02-14 16:00:00,2.0703223913363065,2.3952719925226966,2.0110716578426517,2.3301213,1.7879379957369412,1.671
2019-02-14 17:00:00,2.196913242553853,1.6142318228173214,1.568628509030627,1.745913,1.642460823272847,3.239
2019-02-14 18:00:00,2.7598502992256835,2.441786332710846,2.4676456595366325,2.4639966,2.6382139085396483,2.408
2019-02-14 19:00:00,2.778785004914479,2.4586963745354047,3.0228934898763558,2.9327679,2.907854810059743,2.021
2019-02-14 20:00:00,2.6257043432254186,2.84755379695244,2.969016884188501,2.6816754,2.6690817426699986,1.859
2019-02-14 21:00:00,2.158496417531726,2.2731438393034007,2.5459081247911897,2.2227688,2.4416981120202514,1.149
2019-02-14 22:00:00,1.8543960843080862,1.594182277800907,1.72748582372924,1.9213872,1.6532723698610647,0.893
2019-02-14 23:00:00,1.520445629706177,1.7580488472028366,1.4277058524589124,1.7641717,1.3584478346011966,0.643
2019-02-15 00:00:00,1.3033942758896906,1.3722777361960363,1.430326831930559,1.5566821,1.2628464281418879,0.002
2019-02-15 01:00:00,1.1717616161189863,1.4194100808145822,1.525407717765794,1.6069083,1.2980514606319258,0.003
2019-02-15 02:00:00,1.031079593870491,1.9020505134753984,1.3947796279183993,2.1066005,1.5453251039718094,0.948
2019-02-15 03:00:00,1.6368736098722574,2.564470246855438,2.2327385296840276,2.028682,1.8415898154691812,1.566
2019-02-15 04:00:00,2.0162281906352875,2.106483100914947,2.4247427749630828,2.322797,2.3186030304180023,2.004
2019-02-15 05:00:00,2.118388312577184,2.675112171054007,2.333340810258713,2.5814445,2.236080306290563,3.445
2019-02-15 06:00:00,2.9773328223419564,3.3236677321658203,3.6589760181157645,3.2186518,3.3436748900604623,1.74
2019-02-15 07:00:00,2.14150368714442,2.936433396353972,2.2303598450357165,2.817159,2.2195900633346057,0.499
2019-02-15 08:00:00,1.3891573705928573,2.3756849694325184,1.734904899077169,1.7919139,1.5323668279903182,1.685
2019-02-15 09:00:00,1.940906995526023,1.6958182559729305,1.942038014916466,2.097198,1.8255004823119116,0.909
2019-02-15 10:00:00,1.6652327298168463,1.7603600809414932,1.3753818741815376,1.7712985,1.2979570149425788,1.636
2019-02-15 11:00:00,2.270515462539862,1.927029548281185,2.379500671559624,2.0670166,2.31449844517536,4.55
2019-02-15 12:00:00,3.62666586730972,3.6109091605522576,4.062545482143361,3.403046,3.9056871304322787,3.992
2019-02-15 13:00:00,3.6107949110495627,3.7023277501558987,3.9254918966427303,3.7246892,3.9172700735556663,5.04
2019-02-15 14:00:00,4.22963182917852,3.799106616647463,4.611806248130946,3.7952113,4.3846153496863325,2.148
2019-02-15 15:00:00,2.4578721353649087,2.213685500595341,2.6174214771600006,2.4881225,2.6001756021617837,4.981
2019-02-15 16:00:00,3.6054584978069,3.824046030447747,3.7746275645192675,3.6732829,3.7557165620769197,1.291
2019-02-15 17:00:00,2.3692036160107017,2.408840658145877,2.7606412638769893,2.4066794,2.625045348035848,4.19
2019-02-15 18:00:00,3.33865757535515,3.3913056489078177,3.5788136850158616,3.1995718,3.4591838891368885,2.278
2019-02-15 19:00:00,3.089222732822452,2.430355720389799,2.9761444552625838,2.5259705,2.9008887446327547,3.2
2019-02-15 20:00:00,3.2721535262012953,2.6498366649274225,3.079973277236588,2.5904257,3.0106374319935316,4.333
2019-02-15 21:00:00,3.8090433154643435,3.247440574423794,3.586505827669959,2.9744182,3.5237301860392947,7.6
2019-02-15 22:00:00,5.313412478507448,4.5931082731586645,4.967803854290231,4.251443,4.879140189231325,5.015
2019-02-15 23:00:00,4.275617535255417,4.096180213617146,4.0103272667264775,3.4158237,4.024010117195115,4.144
2019-02-16 00:00:00,3.755786746522694,3.398834826366963,3.51555808505283,2.681529,3.589989989778309,4.012
2019-02-16 01:00:00,3.407666243894451,3.2788256022437485,3.2890551432102306,2.7297883,3.2276716607645684,2.031
2019-02-16 02:00:00,2.5669236731135907,2.24693813240351,2.75595023169656,2.1952004,2.6803103041255536,0.548
2019-02-16 03:00:00,2.163840932600632,1.5398587812164244,2.6400387339665254,1.7275181,2.4024407098223115,0.572
2019-02-16 04:00:00,1.6469676916718563,1.9632474202743202,1.6887431236415984,2.0192213,1.6563332502961239,0.865
