,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ACTUAL
2019-02-17 10:00:00,5.918034181213474,3.3562816534281654,4.364671879860903,5.3710184,5.184706315612888,3.757
2019-02-17 11:00:00,5.837791856601668,4.231651213139358,5.062269139193986,5.1385813,5.478367265537215,4.32
2019-02-17 12:00:00,6.01516757853087,5.19411105455166,4.622290296930632,5.0256605,6.286465033364855,5.076
2019-02-17 13:00:00,5.903856464924519,3.632318907120597,3.771991920432497,4.6142797,5.276949116291706,3.789
2019-02-17 14:00:00,4.016450564026023,3.135415797337439,3.328306918165193,4.1190147,3.8024384180299293,3.195
2019-02-17 15:00:00,4.829321786271713,5.220544173061202,5.1367790628119,4.8532205,5.309737130509994,5.223
2019-02-17 16:00:00,6.456518474403278,4.913440308197336,4.863418216316024,5.191459,6.161747279945271,5.039
2019-02-17 17:00:00,6.164874641098683,4.313095348511548,4.429366012684623,5.153384,5.5694995800635265,4.526
2019-02-17 18:00:00,4.3107157859208005,4.615972046141518,4.8410341731461255,5.1189427,4.052620998323144,4.671
2019-02-17 19:00:00,5.665470730000446,3.6786648237244273,3.5661256946748727,4.523433,5.001303325825641,3.706
2019-02-17 20:00:00,5.242861608019713,3.3398331813149604,3.407434168291947,4.1659975,4.456892827502135,3.419
2019-02-17 21:00:00,5.59817224506948,3.9108813648099354,3.856359740903847,4.2789354,4.904320774122215,3.884
2019-02-17 22:00:00,4.611899405019463,4.391550830120809,4.260475083366947,4.6191635,5.150807409780205,4.456
2019-02-17 23:00:00,4.739331529549993,3.8639580289312274,3.9640430464793006,4.568818,4.446576402596868,3.972
2019-02-18 00:00:00,5.227449484171355,4.237244515416007,4.342866066249967,4.683769,4.658750601114714,4.328
2019-02-18 01:00:00,6.267648889593692,3.8782214640794317,3.9110133132813,4.5174947,5.220739557318302,3.936
2019-02-18 02:00:00,4.7184214040183825,4.0124625497513495,3.9816008161353587,4.4514794,4.695365373744945,4.096
2019-02-18 03:00:00,4.766190238162312,4.259629897811539,4.416906328759484,4.574892,4.548874564334187,4.394
2019-02-18 04:00:00,5.175220249095293,5.484963627569944,5.464378634610043,5.3236713,5.9608514289048635,5.643
2019-02-18 05:00:00,6.633701102406059,4.146041868486909,4.228413644312665,5.0270123,5.6823003455701215,4.323
2019-02-18 06:00:00,5.5075725047858315,6.635615391041062,6.6571361392504835,6.079965,6.691961619165714,6.816
2019-02-18 07:00:00,6.03435398497132,12.545067000023465,12.815771740677354,9.492992,10.271349681992804,12.83
2019-02-18 08:00:00,9.342397025138538,6.449079753869205,6.7166767103810585,7.88057,7.979041388541859,6.708
2019-02-18 09:00:00,7.123559110474398,6.006356625820473,6.519709358666519,7.129128,7.0455695322273275,6.582
2019-02-18 10:00:00,7.020807320089919,8.921815023526078,8.73417442335268,7.816604,8.670953804464919,8.93
2019-02-18 11:00:00,7.4246953337305035,7.690041678142273,7.938017386995393,7.770831,8.094352087270543,8.04
2019-02-18 12:00:00,6.530214113482865,19.423129813726028,19.584971714787898,13.860107,14.853469652423295,19.65
2019-02-18 13:00:00,13.857285748509138,3.08378093065123,3.1401718459441597,7.887303,6.839526425389021,2.373
2019-02-18 14:00:00,4.718519149330265,4.519851589227573,4.678010001520579,6.24524,5.269735274818546,4.861
2019-02-18 15:00:00,5.456929756173432,5.418816802982715,4.6791791801025955,4.8613873,4.844440055856049,4.581
2019-02-18 16:00:00,4.765782213509098,4.0577701359511895,4.8155016524816325,4.7799797,3.3201073172688638,4.274
2019-02-18 17:00:00,5.3713520039503955,4.487069822910231,4.3673656530585205,4.821031,5.562699126142778,4.588
2019-02-18 18:00:00,6.571366329434388,5.101707628197753,5.231211230333877,5.223279,5.937182445767395,5.243
2019-02-18 19:00:00,5.0268312987455985,4.883196657669233,5.051303585725584,5.370451,4.939791351235833,5.039
2019-02-18 20:00:00,5.027519949184874,4.459394372648479,4.527452660513055,5.1604576,5.0553939421047955,4.591
2019-02-18 21:00:00,4.763824917347851,4.985399578087531,6.448206702383153,5.2221107,2.690163113148632,5.094
2019-02-18 22:00:00,7.9067672445342385,4.811126971540321,4.444698269792669,5.2268424,8.276056642727598,4.956
2019-02-18 23:00:00,5.146798397210987,4.3874748529547,4.463287062902816,5.046419,5.041569973138722,4.528
2019-02-19 00:00:00,4.6839176103987885,4.54422912489188,4.550418332983627,4.996402,4.974605171433945,4.658
2019-02-19 01:00:00,4.754760129997076,4.2773454551083745,4.264242619962483,4.852351,5.3234532910078185,4.364
2019-02-19 02:00:00,6.336991217190622,4.420199880513211,4.733940646650193,4.8549395,4.959162619168161,4.524
2019-02-19 03:00:00,5.918024869493095,4.0873751440452715,4.088964352793489,4.621696,5.314419599107353,4.185
2019-02-19 04:00:00,4.8624786098523884,4.152836950105816,4.325650668987414,4.6273956,4.510940905384615,4.299
2019-02-19 05:00:00,3.82153578110126,4.385988462330092,4.569475266552604,4.643734,4.07276983566669,4.487
2019-02-19 06:00:00,6.380320685432274,4.328008316900082,4.578188467851938,4.371269,5.387395041511375,4.567
2019-02-19 07:00:00,6.0531710053017544,4.969083691470418,5.172224951331016,4.8773155,6.211349334769528,5.341
2019-02-19 08:00:00,5.716818800503261,6.981866157613734,7.205969667270806,6.2024508,6.804379454189784,7.28
2019-02-19 09:00:00,5.692609863151267,10.786856872531185,11.326968737057344,8.618231,9.23457725511904,11.28
2019-02-19 10:00:00,8.980680027227159,5.2025614622719365,6.063333735268021,6.8603253,6.532178440313096,5.594
