;AR;AR+ELM
0;0.38936016;0.346891311
1;0.38936016;0.351030781
2;0.38936016;0.344766426
3;0.38936016;0.344678252
4;0.38936016;0.345279748
5;0.38936016;0.346898054
6;0.38936016;0.352265695
7;0.38936016;0.344651216
8;0.38936016;0.341741383
9;0.38936016;0.34378859
10;0.38936016;0.346168897
11;0.38936016;0.346539941
12;0.38936016;0.353136625
13;0.38936016;0.34697592
14;0.38936016;0.34111034
15;0.38936016;0.346037768
16;0.38936016;0.348625143
17;0.38936016;0.349056913
18;0.38936016;0.348317171
19;0.38936016;0.339628872
20;0.38936016;0.352298621
21;0.38936016;0.353705249
22;0.38936016;0.344572603
23;0.38936016;0.345037455
24;0.38936016;0.340680666
25;0.38936016;0.344992978
26;0.38936016;0.349058022
27;0.38936016;0.353259893
28;0.38936016;0.343487567
29;0.38936016;0.343702381
