,ACTUAL,AR,ARMA,ELM,AR+ELM,ARMA+ELM,MLP,AR+MLP,ARMA+MLP,ESN,AR+ESN,ARMA+ESN,RBF,AR+RBF,ARMA+RBF,Ensemble - Média,Ensemble - Mediana
2019-01-31 18:41:00,0.772,0.8190445408860405,0.8291786618191084,0.8586587190635877,,0.8016122291072649,0.8474199,,0.7715931094843229,0.8470261185532176,,0.6974154503457413,0.7684596,,0.7544459558683714,0.8303910933229636,0.8472230180683415
2019-01-31 18:42:00,0.84,0.8313980913180575,0.8006069025522802,0.7822261005541473,,0.7818657282319629,0.7968887,,0.7329458704716298,0.784272692717469,,0.6678017253287399,0.78631485,,0.6973544842130277,0.7874255868562647,0.7852937689013065
2019-01-31 18:43:00,0.804,0.8512757621183533,0.8487164060411175,0.8788392338961456,,0.8622655552829973,0.8560663,,0.7749843428668698,0.8480119672655754,,0.6455412222898202,0.824478,,0.7593364844855984,0.8518488645814306,0.8520391269147243
2019-01-31 18:44:00,0.835,0.8409475860740516,0.8218925981449561,0.8544272852292456,,0.8460010049193247,0.8410696,,0.748935514562078,0.806336598301399,,0.6990466835556776,0.7588247,,0.7321541695522742,0.8151645421831677,0.8237030887129249
2019-01-31 18:45:00,0.911,0.8550969791439487,0.8441421739715111,0.8704223698849566,,0.7890864869360854,0.8765093,,0.7853860460179818,0.8617309294790986,,0.8175790163948619,0.8124571,,0.7587840013164056,0.8552799232087048,0.8660766496820276
2019-01-31 18:46:00,0.893,0.9196092774488472,0.8976798918412805,0.9390205932750473,,0.8752154206550751,0.9144548,,0.8220520582364679,0.8998715341648602,,0.8981821689845237,0.8749399,,0.8076149937080026,0.9070717159324714,0.9071631759683859
2019-01-31 18:47:00,0.821,0.8950909558724756,0.8846052869648398,0.9128028234252393,,0.8671895120029913,0.9207097,,0.820385484346813,0.881195524132441,,0.8324443237918546,0.8604328,,0.7746364756912649,0.8937852200957875,0.8969991737788401
2019-01-31 18:48:00,0.775,0.8592095972986643,0.8344300889796206,0.8679842421043993,,0.8187401620856256,0.8495189,,0.7643024825877138,0.8341111242521724,,0.7804512451445739,0.78847975,,0.7392754608220049,0.8350235017234584,0.8418150097007017
2019-01-31 18:49:00,0.737,0.807409418850214,0.802605320412352,0.8347622109798665,,0.7832731279086729,0.81469214,,0.7346788241450333,0.8235822720840681,,0.8843292961524689,0.7224275,,0.7002321748916649,0.798866027515709,0.8191372058548088
2019-01-31 18:50:00,0.792,0.7908085687718764,0.7753618925850603,0.8004814280020931,,0.7631086673393412,0.78232884,,0.7049713701050493,0.7916747589661169,,0.6802689297329823,0.6947744,,0.6809582084458086,0.7673148550764031,0.7870018015182758
2019-01-31 18:51:00,0.776,0.8355426967498066,0.8137311077033673,0.8464248881440182,,0.7943634776465447,0.8309354,,0.748454678646246,0.8458822266059773,,0.6768414799256973,0.74313706,,0.7044905981337224,0.8165948987379292,0.8384088226058909
2019-01-31 18:52:00,0.694,0.8106434370588906,0.8007828307364708,0.8264360631034543,,0.7871284926884817,0.8099317,,0.7259745162938362,0.8212742240676512,,0.5460636508256598,0.73477167,,0.7112202730987793,0.7981034128858397,0.8156029597644622
2019-01-31 18:53:00,0.848,0.7472505918031515,0.7419368816951015,0.7606148455659879,,0.7235419209359536,0.76164234,,0.675406370911906,0.760406042547386,,0.7963012720362161,0.7224681,,0.6352876244524219,0.751282825773804,0.760510444056687
2019-01-31 18:54:00,0.776,0.8712784423988106,0.8511482835924181,0.8844294533961129,,0.8725113043308803,0.8771025,,0.7788813621913943,0.8941160382006448,,0.8297896949002341,0.81958693,,0.7606822014963183,0.8688087296239285,0.8807659738179601
2019-01-31 18:55:00,0.706,0.8182492759927446,0.7975596114911745,0.830104473583132,,0.8112098863459608,0.82272524,,0.720156155518503,0.817238589982006,,0.773576786120505,0.7378814,,0.7062664180912683,0.801987430505962,0.8199819131989345
2019-01-31 18:56:00,0.79,0.7675159193850595,0.7484271781472587,0.7880852352150978,,0.7381619429676775,0.7904905,,0.677906613233509,0.7586297687397706,,0.7691989159229513,0.8281023,,0.6543795870570563,0.7913269506661844,0.7892878716473133
2019-01-31 18:57:00,0.855,0.8221769229895579,0.8078571133551681,0.8317177938119715,,0.7894056726335531,0.846997,,0.7432288848099792,0.8446297502918666,,0.7596395593570817,0.828603,,0.6979865901408279,0.8379868989959303,0.8381737720519191
2019-01-31 18:58:00,0.86,0.8593159005789381,0.852345167261866,0.8855532909789046,1.2593667876798924,0.8331603914921739,0.8865181,0.7852397695927245,0.7872957275932106,0.8956202101099857,0.6670481144708342,0.9438768599324022,0.825676,0.751182197108708,0.7428215207283768,0.8733419114536725,0.8860357058722953
2019-01-31 18:59:00,0.769,0.8991560707331954,0.8554554893507867,0.8992286697697793,2.2890826721148487,0.8374950309152833,0.881139,0.780517726624137,0.7910291715397745,0.8954394616978352,0.7336940392152592,0.9617590287596767,0.84026206,0.7744217137337981,0.7455059825315385,0.8790172918133223,0.8882892210432383
2019-01-31 19:00:00,0.834,0.7923875157139295,0.7912835149278191,0.7926296973626726,1.209099042619624,0.8153845988129773,0.79831964,0.6978185627958768,0.7186723319997338,0.8086333598016748,0.7275757640529498,0.7247906027663333,0.7585155,0.6775042269728178,0.7012302247991112,0.7895245430300624,0.795474667569047
